1060,1063,1072
15,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2476
00,05,08,09,10,16,15,10,05,14,16,13,17,04,02,16,13,14,09,16,02,17,14,14,11,18,02,12,00,02,06,16,12,11,17,15,19,06,02,08,
12,05,08,09,17,19,19,07,00,10,13,06,02,12,08,15,03,16,06,06,09,19,11,06,00,06,09,03,01,11,06,18,05,04,13,18,17,07,10,06,
00,03,03,06,17,17,07,08,01,06,19,16,06,12,14,05,09,11,09,17,06,11,02,18,14,19,15,11,09,11,15,07,12,18,10,08,17,09,06,19,
14,04,13,13,07,14,03,05,11,02,11,13,04,01,14,06,17,09,03,12,17,16,15,09,02,02,07,04,11,03,18,05,18,09,12,19,00,08,15,10,
14,02,05,15,04,13,11,05,00,19,13,13,09,02,13,19,00,00,04,10,15,04,06,10,00,09,17,17,01,03,01,17,09,12,03,03,09,16,19,03,
05,00,19,02,00,16,09,11,11,07,00,03,05,15,06,07,18,13,07,07,09,10,13,16,06,11,00,18,01,10,17,03,09,05,15,03,12,10,19,04,
03,04,07,09,04,18,18,06,14,01,07,02,09,06,00,13,07,16,08,06,10,07,06,03,07,02,00,00,19,14,12,06,08,15,06,05,13,18,03,16,
01,08,04,00,13,11,01,10,01,18,03,04,10,09,16,06,17,10,02,09,02,01,07,05,01,19,00,08,08,01,00,02,11,03,06,06,17,00,16,17,
04,10,14,05,03,19,10,12,05,05,18,07,08,10,09,17,11,09,13,16,09,11,01,15,12,17,17,00,01,09,02,16,12,08,00,15,17,11,13,10,
16,08,11,00,19,15,13,14,10,00,10,15,08,03,02,10,15,07,10,03,04,03,06,13,08,19,05,12,14,17,19,18,10,03,06,01,01,12,07,01,
06,17,10,00,01,10,16,05,18,05,16,17,15,18,08,03,17,07,14,03,01,15,11,13,03,05,05,03,15,14,07,04,11,11,09,06,19,04,07,11,
03,14,03,19,14,13,13,01,04,10,17,00,13,18,18,07,02,19,02,04,01,13,14,12,12,03,12,15,15,16,05,12,07,03,08,14,13,05,04,13,
14,17,17,02,03,17,10,05,05,01,01,06,11,00,07,14,15,05,06,18,17,14,04,04,05,07,14,05,08,02,13,02,06,15,07,07,19,01,02,17,
02,06,00,19,13,08,06,12,14,16,07,03,17,19,07,06,15,18,01,03,14,03,00,04,03,10,05,18,09,17,18,17,10,02,17,05,18,04,16,00,
06,05,07,06,19,11,11,09,11,14,14,18,13,00,02,11,08,18,02,11,16,19,11,19,09,18,03,03,07,09,00,08,19,19,03,19,18,05,19,02,
11,13,03,17,11,02,02,11,06,08,19,06,17,15,08,05,18,02,11,13,04,18,18,18,16,07,18,14,11,10,11,18,01,19,19,08,13,13,17,16,
01,16,15,11,05,18,17,18,07,05,00,07,01,12,03,04,19,12,05,15,02,17,15,01,10,13,03,15,03,12,14,11,17,13,06,19,09,00,02,01,
06,12,06,13,06,15,18,08,02,11,14,02,11,15,00,07,01,03,05,18,08,16,01,18,02,03,04,12,12,16,00,12,04,02,05,03,06,02,11,17,
06,15,04,08,18,16,09,05,08,00,16,01,06,05,06,06,07,16,14,15,05,07,07,10,13,00,06,17,11,17,11,15,15,01,08,15,14,11,02,01,
05,08,09,00,15,05,10,04,13,14,03,12,07,00,13,03,13,10,04,11,15,06,12,06,00,09,12,04,05,04,00,09,05,01,10,15,04,11,00,18,
00,01,19,04,03,00,12,03,15,07,16,17,11,06,09,06,11,02,15,08,09,05,14,07,00,16,14,10,01,13,12,02,12,14,11,17,17,03,03,14,
12,03,17,19,02,12,11,11,06,17,09,17,11,03,04,13,06,16,06,09,13,00,15,06,09,00,06,17,17,04,14,08,05,03,19,10,06,02,00,01,
02,17,19,17,10,09,07,09,06,19,16,13,14,15,00,08,02,04,08,11,11,15,06,13,15,03,18,12,13,08,07,04,03,07,00,03,16,08,14,13,
17,13,19,16,18,15,07,03,17,14,18,14,06,09,06,18,05,10,07,14,08,19,12,13,05,18,16,10,15,11,01,12,12,07,19,12,18,07,00,07,
12,13,07,12,04,10,11,17,10,17,01,05,07,19,16,10,11,03,07,00,16,00,17,18,17,05,17,07,14,12,04,08,04,18,15,12,11,13,11,15,
