1100,1100,1100
1,99
2,99
3,99
4,99
5,99
6,99
7,99
8,99
9,99
10,99
11,99
12,99
13,99
14,99
15,99
0,0
0,0
0,0
0,0
0
15,12,07,06,00,01,05,18,12,19,17,06,07,04,14,09,04,14,17,11,06,15,07,01,00,02,16,12,04,18,10,14,11,07,05,12,11,11,14,06,
02,18,10,00,00,13,16,14,03,04,17,15,01,14,03,01,17,05,04,00,13,18,00,04,08,14,02,04,12,18,07,08,18,04,19,09,16,02,04,19,
14,18,00,08,17,03,06,12,09,11,04,03,06,02,04,02,00,06,00,12,13,07,07,00,15,16,12,17,07,03,05,05,13,02,13,02,09,02,01,12,
14,16,09,18,17,01,01,04,16,10,01,13,15,13,18,19,14,07,06,00,16,03,08,18,00,05,00,17,19,14,19,10,13,19,02,19,11,08,15,18,
16,12,09,12,02,17,01,03,19,17,12,06,09,18,19,15,03,14,01,13,13,12,12,11,02,13,11,16,19,02,14,05,07,05,14,00,01,07,11,06,
18,05,15,15,04,01,04,04,02,11,17,06,04,19,01,09,13,13,09,12,11,00,11,07,19,19,18,00,10,18,16,19,11,19,14,07,18,12,03,18,
16,04,11,08,08,08,09,18,17,00,19,02,17,14,13,05,02,06,00,18,15,02,01,13,05,09,05,14,07,02,02,07,02,14,11,07,09,14,08,17,
00,18,17,08,02,19,12,00,05,17,05,05,13,01,05,18,10,08,04,13,10,00,03,05,04,05,18,04,02,06,11,14,04,06,11,17,14,11,05,02,
00,17,16,05,16,12,08,17,12,14,08,18,04,14,10,14,10,08,11,05,12,08,05,08,14,04,14,01,17,16,11,05,15,18,05,02,08,02,06,02,
12,03,00,15,10,11,05,04,11,16,19,03,00,15,02,01,14,05,13,16,11,19,06,04,01,15,01,16,08,01,08,09,09,15,16,02,14,07,18,14,
09,04,16,03,03,00,14,08,19,05,13,10,15,03,07,02,19,12,10,15,06,17,13,14,05,05,09,13,16,19,01,07,02,05,00,16,08,18,14,13,
15,19,13,07,02,10,05,13,14,06,11,07,04,15,14,09,18,05,06,18,06,11,04,01,15,06,06,17,14,18,01,04,04,08,01,07,16,12,00,00,
04,05,01,16,15,11,06,18,01,04,03,19,02,18,17,07,08,12,19,08,12,03,12,18,07,03,09,06,05,10,08,19,01,04,06,14,07,12,09,17,
